Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
titanic,2,1,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1982,221,177,44,0,80.09049774,19.90950226,0,0.470831519,0.199444364,0.307642512,68.16841819,80.39274746,201.5633873,141.291521,60.27186632,0.912051526,0.639328149,0.272723377,69.52147939,0.31457683,7572.427624,0,0,0,0,1,221,0,0,0,0,0,0,NaN,NaN,0.800904977,0.39766113,0.60233887,0.199095023,0.829813977,0.800904977,0.774398244,0.537058063,0.81608874,0.82349537,0.723372781,0.800904977,0.006,0.019,0,0.015625,0,15.625,130297,122525,15104,100,63.80090498,?
titanic,2,2,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1982,220,176,44,0,80,20,0,0.458673526,0.19876782,0.307716956,68.08669121,80.61134894,199.931131,141.8742482,58.05688279,0.908777868,0.644882946,0.263894922,69.46538296,0.315751741,7563.356645,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.8,0.412345212,0.587654788,0.2,0.836396461,0.8,0.770352941,0.535737169,0.80357197,0.806863594,0.715294118,0.8,0,0.019,0,0.015625,0,15.625,139950,122525,15104,100,63.48484848,?
titanic,2,3,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1982,221,170,51,0,76.92307692,23.07692308,0,0.368995633,0.211753946,0.332918573,72.16272176,86.71060415,210.7253913,181.2158148,29.50957654,0.953508558,0.819981062,0.133527496,59.57531834,0.269571576,6520.449718,0,0,0,0,1,220,1,1,0,0,0,0,0,0.004524887,0.769230769,0.463119658,0.536880342,0.230769231,0.801221719,0.769230769,0.728483015,0.452402,0.743207642,0.753543938,0.443780193,0.769230769,0.001,0.021,0,0.015625,0,15.625,139881,122525,15104,99.54751131,64.85671192,?
titanic,2,4,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,169,51,0,76.81818182,23.18181818,0,0.369804538,0.218572698,0.342090943,74.87073001,89.6161614,199.931131,168.9482192,30.98291175,0.908777868,0.767946451,0.140831417,51.57837727,0.234447169,5615.828285,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.768181818,0.456999287,0.543000713,0.231818182,0.788105384,0.768181818,0.732453568,0.436523761,0.726391908,0.743407855,0.667644184,0.768181818,0,0.02,0,0.015625,0,15.625,130318,122586,15043,99.54545455,64.24242424,?
titanic,2,5,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,178,42,0,80.90909091,19.09090909,0,0.487748087,0.197497001,0.313351012,67.65138003,82.08727956,199.931131,144.4085885,55.52254244,0.908777868,0.656402675,0.252375193,68.1604757,0.309820344,7421.278986,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.809090909,0.393267107,0.606732893,0.190909091,0.842667846,0.809090909,0.78295415,0.558753047,0.791048303,0.79971617,0.73198747,0.809090909,0.001,0.018,0,0.015625,0,15.625,125294,122586,15043,100,63.48484848,?
titanic,2,6,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,172,48,0,78.18181818,21.81818182,0,0.398975526,0.208954943,0.327548704,71.57622723,85.80659059,199.931131,157.853308,42.077823,0.908777868,0.717515036,0.191262832,60.09988262,0.273181285,6543.645586,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.781818182,0.450501422,0.549498578,0.218181818,0.823850816,0.781818182,0.744133192,0.48806583,0.765006144,0.769420729,0.680232558,0.781818182,0,0.025,0,0.015625,0,15.625,130270,122586,15043,99.54545455,64.54545455,?
titanic,2,7,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,169,51,0,76.81818182,23.18181818,0,0.358563915,0.213500866,0.332029698,73.13340529,86.98045825,199.931131,159.6371533,40.29397764,0.908777868,0.725623424,0.183154444,56.87529506,0.258524068,6192.554082,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.768181818,0.471745482,0.528254518,0.231818182,0.803787879,0.768181818,0.726627834,0.444549462,0.742603271,0.75776094,0.657665904,0.768181818,0.001,0.019,0,0.03125,0,31.25,127438,122586,15043,100,64.54545455,?
titanic,2,8,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,172,48,0,78.18181818,21.81818182,0,0.404264922,0.213934455,0.33378173,73.28192849,87.43943097,199.931131,163.2670784,36.66405254,0.908777868,0.742123084,0.166654784,56.52648448,0.256938566,6154.575758,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.781818182,0.443128325,0.556871675,0.218181818,0.814671761,0.781818182,0.746873678,0.482574048,0.717837225,0.73767845,0.684926602,0.781818182,0,0.019,0,0.015625,0,15.625,130238,122586,15043,99.54545455,64.39393939,?
titanic,2,9,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,174,46,0,79.09090909,20.90909091,0,0.448501362,0.211561613,0.326117344,72.46912612,85.43162314,199.931131,156.991223,42.93990796,0.908777868,0.713596468,0.1951814,58.72793944,0.266945179,6394.269089,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.790909091,0.401930927,0.598069073,0.209090909,0.803797824,0.790909091,0.76667146,0.497196021,0.762453918,0.774872954,0.714156592,0.790909091,0,0.019,0,0.03125,0,31.25,127454,122586,15043,99.54545455,63.78787879,?
titanic,2,10,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,183,37,0,83.18181818,16.81818182,0,0.554509632,0.19158012,0.294762544,65.62458899,77.21773466,199.931131,131.8824563,68.04867467,0.908777868,0.59946571,0.309312158,74.93519879,0.34061454,8158.907495,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.831818182,0.352944942,0.647055058,0.168181818,0.865273705,0.831818182,0.8114738,0.619365408,0.817941204,0.829017088,0.768585643,0.831818182,0,0.019,0,0.015625,0,15.625,130254,122586,15043,100,63.33333333,?
titanic,3,1,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1982,221,173,48,0,78.28054299,21.71945701,0,0.407837446,0.214058594,0.332071935,73.16344002,86.77661302,201.5633873,161.2328647,40.33052262,0.912051526,0.729560474,0.182491053,57.39697418,0.259714815,6251.800689,0,0,0,0,1,221,0,0,0,0,0,0,NaN,NaN,0.78280543,0.442294617,0.557705383,0.21719457,0.824968094,0.78280543,0.746352924,0.495320509,0.707541014,0.737320881,0.685334599,0.78280543,0,0.024,0,0.03125,0,31.25,130217,122525,15104,100,64.70588235,?
titanic,3,2,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1982,220,176,44,0,80,20,0,0.485598895,0.200715315,0.319251687,68.75379356,83.63305494,199.931131,151.6050705,48.32606045,0.908777868,0.689113957,0.219663911,66.01992445,0.300090566,7188.216821,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.8,0.368106626,0.631893374,0.2,0.8049053,0.8,0.782360627,0.518537782,0.737930556,0.76469598,0.736498258,0.8,0,0.019,0,0.015625,0,15.625,139950,122525,15104,100,63.48484848,?
titanic,3,3,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1982,221,169,52,0,76.47058824,23.52941176,0,0.37037037,0.222161304,0.351822207,75.70940096,91.63416699,210.7253913,200.6500683,10.07532304,0.953508558,0.907918861,0.045589697,50.37985536,0.227963146,5514.016926,0,0,0,0,1,220,1,1,0,0,0,0,0,0.004524887,0.764705882,0.450816993,0.549183007,0.235294118,0.776025996,0.764705882,0.730137012,0.428984544,0.678190045,0.706826095,0.447369443,0.764705882,0.001,0.026,0.015625,0.015625,15.625,15.625,139881,122525,15104,98.64253394,63.65007541,?
titanic,3,4,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,172,48,0,78.18181818,21.81818182,0,0.404264922,0.208184523,0.321664926,71.31232492,84.26524145,199.931131,150.5525988,49.37853215,0.908777868,0.684329995,0.224447873,61.08761063,0.277670957,6651.188925,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.781818182,0.443128325,0.556871675,0.218181818,0.814671761,0.781818182,0.746873678,0.482574048,0.780272237,0.790368313,0.684926602,0.781818182,0.001,0.018,0,0.03125,0,31.25,124790,122586,15043,100,63.78787879,?
titanic,3,5,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,185,35,0,84.09090909,15.90909091,0,0.589114194,0.178834872,0.282800346,61.25878274,74.08404674,199.931131,123.0373683,76.89376262,0.908777868,0.559260765,0.349517103,84.34896461,0.383404385,9183.873675,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.840909091,0.319120642,0.680879358,0.159090909,0.85969697,0.840909091,0.826188858,0.632485423,0.870829001,0.868963904,0.789150853,0.840909091,0.001,0.019,0,0.015625,0,15.625,125078,122586,15043,100,62.42424242,?
titanic,3,6,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,170,50,0,77.27272727,22.72727273,0,0.37393284,0.211915505,0.33002343,72.59034959,86.45488454,199.931131,162.4481342,37.48299677,0.908777868,0.73840061,0.170377258,58.41773965,0.26553518,6360.494689,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.772727273,0.46220643,0.53779357,0.227272727,0.807468531,0.772727273,0.733472075,0.457431171,0.751252481,0.76084281,0.666908915,0.772727273,0,0.019,0,0.015625,0,15.625,124782,122586,15043,99.09090909,64.24242424,?
