Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
titanic,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1654.0,549.0,423.0,126.0,0.0,77.04918032786885,22.950819672131146,0.0,0.4253601156357474,0.1530054644808744,0.3911591293589789,52.40229945677966,102.49688298354191,498.88952287584766,135324.0,-134825.11047712417,0.9087240853840577,246.49180327868854,-245.58307919330448,222.66591720735764,0.40558454864728166,24190.870464406755,0.0,0.0,0.0,0.0,1.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7704918032786885,0.3816636640404891,0.6183363359595109,0.22950819672131148,0.7629105168563804,0.7704918032786885,0.7563051277433355,0.4410705707739973,0.6944140696190997,0.6905236069151744,0.7086085462020624,0.7704918032786885,0.002,0.001,0.0,0.0,0.0,0.0,1336.0,102517.0,35112.0,77.04918032786885,33.333333333333485,?
titanic,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1653.0,550.0,430.0,120.0,0.0,78.18181818181819,21.818181818181817,0.0,0.45184545363941403,0.14545454545454548,0.38138503569823695,49.78316997969597,99.83648260658929,500.52076268841387,128880.0,-128379.47923731159,0.9100377503425706,234.3272727272727,-233.41723497693016,237.32671511216773,0.4315031183857595,25795.68097887673,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7818181818181819,0.3710111261216735,0.6289888738783266,0.21818181818181817,0.7772727272727272,0.7818181818181819,0.7672042243470814,0.47113514884922136,0.7054035278482542,0.7007201812849906,0.7214766800020256,0.7818181818181819,0.001,0.001,0.0,0.015625,0.0,15.625,1336.0,102456.0,35173.0,78.18181818181819,33.333333333333485,?
titanic,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1652.0,551.0,432.0,119.0,0.0,78.40290381125227,21.59709618874773,0.0,0.4505375713339981,0.14398064125831822,0.37944781098105995,49.294243753882064,99.37647960174789,501.0860348524792,127806.0,-127304.91396514753,0.9094120414745539,231.95281306715063,-231.0434010256761,240.12894004369466,0.4358056988088832,26094.17155576134,0.0,0.0,0.0,0.0,1.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7840290381125227,0.37914305443929913,0.6208569455607008,0.21597096188747728,0.7819392378791322,0.7840290381125227,0.7672097010237802,0.47530543027263206,0.7024429918366117,0.7005721893023586,0.7196767918599432,0.7840290381125227,0.001,0.001,0.0,0.0,0.0,0.0,1336.0,102395.0,35234.0,78.40290381125227,33.333333333333485,?
titanic,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1653.0,550.0,422.0,128.0,0.0,76.72727272727273,23.272727272727273,0.0,0.4171799456917676,0.15515151515151523,0.39389277113386484,53.10204797834238,103.11067586113249,500.52076268841387,137472.0,-136971.47923731158,0.9100377503425706,249.9490909090909,-249.03905315874832,219.7890841257046,0.39961651659219016,23889.468549996775,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7672727272727272,0.3867604643755423,0.6132395356244577,0.2327272727272727,0.7595771272042459,0.7672727272727272,0.7523693571454766,0.43367786028643235,0.6902561314485924,0.6866699921661401,0.7041817937340326,0.7672727272727272,0.002,0.0,0.0,0.0,0.0,0.0,1336.0,102456.0,35173.0,76.72727272727273,33.333333333333485,?
titanic,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1652.0,550.0,407.0,143.0,0.0,74.0,26.0,0.0,0.34290774809096536,0.17333333333333356,0.4163331998932268,59.38284894151401,109.14479965402005,499.45682817344647,153582.0,-153082.54317182655,0.9081033239517209,279.24,-278.33189667604825,186.03394883998462,0.33824354334542656,20206.394585218226,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.74,0.42915950985292556,0.5708404901470745,0.26,0.7268686624818927,0.74,0.7219792794974069,0.35824733130374026,0.6565749455135382,0.6591505650756554,0.6659148157115611,0.74,0.001,0.0,0.0,0.0,0.0,0.0,1336.0,102395.0,35234.0,74.0,33.333333333333485,?
titanic,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1651.0,551.0,425.0,126.0,0.0,77.13248638838475,22.867513611615244,0.0,0.4247957712638155,0.1524500907441017,0.39044857631204355,52.1939051511692,102.25755388885892,501.0860348524792,135324.0,-134822.9139651475,0.9094120414745539,245.59709618874774,-244.68768414727316,224.79408641840354,0.40797474849075055,24427.773906198476,0.0,0.0,0.0,0.0,1.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7713248638838476,0.3852056362427956,0.6147943637572043,0.22867513611615242,0.7645993700064668,0.7713248638838476,0.7559862869875268,0.4429066721667464,0.6940952436514235,0.6897913112409311,0.7077439886845827,0.7713248638838476,0.001,0.001,0.0,0.0,0.0,0.0,1336.0,102334.0,35295.0,77.13248638838475,33.333333333333485,?
titanic,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1652.0,551.0,434.0,117.0,0.0,78.76588021778585,21.234119782214155,0.0,0.46342782947413974,0.14156079854809436,0.3762456624973826,48.37550902050578,98.26284493456177,510.73291581977435,125658.0,-125147.26708418023,0.9269199924133835,228.05444646098005,-227.12752646856666,254.12632021087146,0.46120929257871407,27789.958681252832,1.0,1.0,0.0,0.0,1.0,550.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7876588021778584,0.3715550383424307,0.6284449616575691,0.2123411978221416,0.7864943010121679,0.7876588021778584,0.7711442553886259,0.4875082211713804,0.708051881917714,0.7044346143813554,0.8161410185530427,0.7876588021778584,0.001,0.001,0.0,0.0,0.0,0.0,1336.0,102395.0,35234.0,78.76588021778585,33.333333333333485,?
titanic,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1651.0,551.0,425.0,126.0,0.0,77.13248638838475,22.867513611615244,0.0,0.42664838794926,0.1524500907441017,0.39044857631204355,52.19390515116921,102.25755388885895,501.0860348524792,135324.0,-134822.9139651475,0.9094120414745539,245.59709618874774,-244.68768414727316,224.79690113307205,0.4079798568658295,24428.079773735422,0.0,0.0,0.0,0.0,1.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7713248638838476,0.3822686238621589,0.6177313761378411,0.22867513611615248,0.7642598457545635,0.7713248638838476,0.7566598113111783,0.44349818876913655,0.6955542845350938,0.6905471014165863,0.7089983904500033,0.7713248638838476,0.001,0.0,0.015625,0.0,15.625,0.0,1336.0,102334.0,35295.0,77.13248638838475,33.333333333333485,?
titanic,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1653.0,550.0,426.0,124.0,0.0,77.45454545454545,22.545454545454547,0.0,0.43720085822743027,0.15030303030303035,0.38768934767804797,51.4426089790192,101.48678420315454,500.5207626884138,133176.0,-132675.47923731158,0.9100377503425706,242.1381818181818,-241.22814406783922,228.56212514434765,0.41556750026245026,24843.034048194302,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7745454545454545,0.37449108702098916,0.6255089129790108,0.22545454545454546,0.7678625792811838,0.7745454545454545,0.7607575935086018,0.4531851144721432,0.7000271837622327,0.6947346338650778,0.7146395755577499,0.7745454545454545,0.002,0.0,0.0,0.0,0.0,0.0,1336.0,102456.0,35173.0,77.45454545454545,33.333333333333485,?
titanic,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01704260936E7,1654.0,549.0,440.0,109.0,0.0,80.14571948998179,19.854280510018214,0.0,0.49553627879922096,0.13236187006678804,0.3638157089335039,45.33214794276964,95.3319847276516,498.8895228758479,117066.0,-116567.11047712415,0.9087240853840581,213.23497267759564,-212.32624859221156,259.9105673994545,0.4734254415290611,28237.20373170298,0.0,0.0,0.0,0.0,1.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.8014571948998178,0.35508394904598156,0.6449160509540185,0.19854280510018216,0.8026222492296655,0.8014571948998178,0.7864835511394643,0.5212279031299502,0.7231866229269182,0.7199458559589051,0.7429035431802267,0.8014571948998178,0.001,0.016,0.0,0.0,0.0,0.0,1336.0,102517.0,35112.0,80.14571948998179,33.333333333333485,?
